source	target
acinar	pancreatic acinar cell:fetal derived definitive erythrocyte:epithelial cell of exocrine pancreas:pancreatic centro-acinar cell:|||:lung parenchyma resident eosinophil:pancreatic stellate cell:pancreas exocrine glandular cell:neutrophil:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:acinar cell:Fraction A pre-pro B cell:spinal accessory motor neuron:Fraction C precursor B cell:|||:acinar cell of sebaceous gland:acinar cell of salivary gland:epithelial cell of prostatic acinus:regular atrial cardiac myocyte
alpha	pancreatic A cell:tissue-resident macrophage:pancreatic acinar cell:mesodermal cell:|||:pancreas exocrine glandular cell:epithelial cell of pancreas:pancreatic stellate cell:lung parenchyma resident eosinophil:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:macrophage:basophil progenitor cell:common lymphoid progenitor:early lymphoid progenitor:|||:CD8-positive, CD28-negative, alpha-beta regulatory T cell:CD4-negative, CD8-negative, alpha-beta intraepithelial T cell:mature CD8_alpha-positive CD11b-negative dendritic cell:immature CD8_alpha-positive CD11b-negative dendritic cell
beta	type B pancreatic cell:mesodermal cell:pancreatic A cell:pancreatic D cell:|||:epithelial cell of pancreas:pancreatic stellate cell:pancreas exocrine glandular cell:epithelial cell of exocrine pancreas:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:basophil cell of pars distalis of adenohypophysis:early T lineage precursor:extravillous trophoblast:basophil progenitor cell:|||:CD8-positive, alpha-beta thymocyte:CD4-positive, alpha-beta memory T cell:renal beta-intercalated cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated
delta	type B pancreatic cell:mesodermal cell:pancreatic D cell:pancreatic A cell:|||:epithelial cell of exocrine pancreas:pancreas exocrine glandular cell:pancreatic stellate cell:epithelial cell of pancreas:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:dendritic epidermal T cell:type D enteroendocrine cell:gonadtroph:gamma-delta intraepithelial T cell:|||:CD4-negative CD8-negative gamma-delta intraepithelial T cell:Bm3-delta B cell:Vgamma5-positive CD8alpha alpha positive gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell
ductal	pancreatic ductal cell:type B pancreatic cell:pancreatic A cell:pancreatic D cell:|||:pancreatic goblet cell:epithelial cell of exocrine pancreas:lung parenchyma resident eosinophil:pancreatic stellate cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:alveolar macrophage:type D enteroendocrine cell:structural cell:luteal cell:|||:luminal cell of lactiferous terminal ductal lobular unit:epithelial cell of prostatic duct:kidney papillary duct principal epithelial cell:mucosal type mast cell
endothelial	type B pancreatic cell:mesodermal cell:primordial germ cell:pancreatic D cell:|||:epithelial cell of pancreas:endothelial cell:endothelial cell of artery:corneal endothelial cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:endothelial tip cell:endo-epithelial cell:gut endothelial cell:lung endothelial cell:|||:endothelial cell of arteriole:embryonic blood vessel endothelial progenitor cell:thoracic aorta endothelial cell:aortic endothelial cell
erythroblast	primitive red blood cell:mesodermal cell:embryonic fibroblast:type B pancreatic cell:|||:erythroblast:ooblast:basophilic erythroblast:orthochromatic erythroblast:|||:erythroblast:cartwheel heterochromatin:myeloid suppressor cell:naive thymus-derived CD4-positive, alpha-beta T cell:|||:proerythroblast:Bm3 B cell:thromboblast:pigment erythroblast
fibroblast	embryonic fibroblast:mesodermal cell:primitive red blood cell:tissue-resident macrophage:|||:fibroblast:fibroblast of breast:ooblast:foreskin fibroblast:|||:fibroblast:cartwheel heterochromatin:immature NK T cell:DN1 thymic pro-T cell:|||:skin fibroblast:iridoblast:marrow fibroblast:muscle fibroblast
leukocyte	primordial germ cell:fetal derived definitive erythrocyte:tissue-resident macrophage:primitive red blood cell:|||:leukocyte:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse:oocyte:|||:leukocyte:cartwheel heterochromatin:myeloid suppressor cell:naive thymus-derived CD4-positive, alpha-beta T cell:|||:splenocyte:neutrophil:pneumocyte:oenocyte
lymphatic endothelial cell	pancreatic D cell:pancreatic ductal cell:type B pancreatic cell:pancreatic centro-acinar cell:|||:endothelial cell of lymphatic vessel:endothelial cell:type I pneumocyte:aortic endothelial cell:|||:cartwheel heterochromatin:lymph node tingible body macrophage:DN1 thymic pro-T cell:thymocyte:|||:splenic endothelial cell:colon endothelial cell:cardiac endothelial cell:dermis lymphatic vessel endothelial cell
